Time_of_Day,Day_of_Week,Month,Weather_Conditions,Road_Type,Road_Condition,Lighting_Conditions,Traffic_Control_Presence,Speed_Limit,Driver_Age,Driver_Gender,Alcohol_Involvement,Number_of_Vehicles_Involved,Accident_Severity
Morning,Friday,Aug,Clear,City Road,Wet,Street Lit,Signal,100,64,Female,No,1,Major
Evening,Tuesday,Jul,Clear,City Road,Dry,Daylight,Speed Breaker,60,48,Male,No,2,Major
Morning,Wednesday,Jul,Clear,Highway,Wet,Daylight,Speed Breaker,100,78,Male,Yes,1,Minor
Evening,Friday,Mar,Snow,City Road,Dry,Street Lit,Signal,100,62,Male,No,2,Major
Evening,Wednesday,Apr,Rain,Highway,Dry,Daylight,None,50,70,Female,No,1,Minor
Morning,Tuesday,Oct,Snow,City Road,Wet,No Lighting,Speed Breaker,60,62,Male,No,1,Minor
Morning,Sunday,Sep,Clear,Highway,Dry,No Lighting,Speed Breaker,40,48,Male,No,1,Major
Evening,Sunday,Jun,Clear,City Road,Dry,Daylight,None,100,34,Female,No,1,Minor
Afternoon,Thursday,May,Rain,Highway,Dry,No Lighting,Signal,60,64,Female,Yes,1,Major
Night,Sunday,Mar,Clear,City Road,Dry,Daylight,None,60,74,Male,No,2,Major
Morning,Sunday,Sep,Clear,City Road,Dry,Street Lit,Signal,50,71,Female,Yes,2,Minor
Night,Monday,May,Clear,Highway,Under Construction,Daylight,Signal,60,36,Female,No,1,Major
Afternoon,Thursday,May,Clear,Highway,Wet,Daylight,None,50,20,Male,No,2,Minor
Afternoon,Friday,Apr,Clear,Highway,Wet,Street Lit,None,60,63,Male,No,1,Minor
Afternoon,Saturday,Apr,Clear,Rural Road,Dry,Street Lit,Speed Breaker,80,47,Female,No,1,Minor
Morning,Monday,Dec,Rain,City Road,Dry,Daylight,Speed Breaker,100,27,Male,No,1,Minor
Afternoon,Friday,Jan,Clear,City Road,Dry,Daylight,Speed Breaker,50,66,Male,Yes,2,Minor
Morning,Tuesday,Jul,Clear,Highway,Dry,Daylight,None,60,46,Male,No,1,Fatal
Afternoon,Monday,Sep,Fog,City Road,Dry,Daylight,Signal,100,57,Female,Yes,1,Minor
Night,Friday,Mar,Clear,Rural Road,Dry,Daylight,None,40,35,Female,No,1,Major
Night,Tuesday,Dec,Clear,City Road,Potholes,Daylight,Signal,100,29,Male,No,3,Minor
Evening,Thursday,Feb,Fog,City Road,Dry,Daylight,Signal,50,66,Female,No,2,Minor
Night,Saturday,Mar,Clear,Highway,Dry,Daylight,Signal,80,40,Female,No,2,Minor
Evening,Tuesday,Jan,Clear,Highway,Wet,Daylight,Speed Breaker,60,79,Female,No,2,Major
Night,Sunday,Jun,Clear,Highway,Dry,Daylight,None,60,28,Male,Yes,1,Minor
Morning,Wednesday,Nov,Clear,Highway,Under Construction,Daylight,Speed Breaker,100,26,Male,No,2,Minor
Night,Tuesday,Nov,Rain,Highway,Wet,No Lighting,None,40,71,Male,No,2,Minor
Evening,Tuesday,Jul,Fog,Highway,Potholes,Daylight,Signal,50,73,Male,No,1,Major
Evening,Saturday,Nov,Clear,Highway,Dry,No Lighting,Speed Breaker,60,41,Male,Yes,1,Minor
Afternoon,Wednesday,Nov,Rain,Rural Road,Wet,Street Lit,None,100,42,Female,No,1,Major
Morning,Sunday,Feb,Clear,City Road,Dry,Street Lit,Speed Breaker,50,72,Male,No,1,Minor
Night,Friday,Aug,Clear,City Road,Wet,Street Lit,Speed Breaker,100,42,Female,No,3,Major
Afternoon,Friday,Jun,Rain,City Road,Dry,Street Lit,Speed Breaker,60,64,Male,No,1,Minor
Night,Tuesday,Apr,Clear,Highway,Dry,Daylight,None,50,26,Male,No,1,Minor
Night,Wednesday,May,Clear,City Road,Dry,Daylight,None,80,29,Male,No,3,Minor
Afternoon,Wednesday,Aug,Clear,Highway,Dry,Street Lit,Signal,40,28,Male,No,1,Fatal
Afternoon,Sunday,Mar,Clear,City Road,Under Construction,Daylight,None,60,66,Male,No,1,Minor
Afternoon,Saturday,Mar,Clear,Highway,Wet,Street Lit,Signal,40,55,Female,No,3,Fatal
Afternoon,Thursday,Nov,Fog,Rural Road,Wet,Daylight,Signal,60,45,Male,No,1,Minor
Afternoon,Friday,Apr,Clear,Highway,Dry,Street Lit,None,80,25,Male,No,2,Minor
Night,Saturday,Jan,Clear,Highway,Wet,Daylight,Signal,60,27,Male,No,1,Minor
Afternoon,Monday,Sep,Clear,Rural Road,Dry,Daylight,None,60,42,Male,No,1,Minor
Morning,Friday,Aug,Rain,Highway,Under Construction,Daylight,Signal,60,64,Male,Yes,1,Fatal
Evening,Saturday,Aug,Rain,City Road,Potholes,Street Lit,Signal,50,53,Male,Yes,1,Major
Afternoon,Friday,Oct,Rain,City Road,Dry,Street Lit,Signal,60,78,Male,No,4,Major
Afternoon,Thursday,Jun,Rain,City Road,Under Construction,Daylight,Signal,120,67,Female,No,4,Major
Night,Monday,Jul,Fog,Rural Road,Dry,Street Lit,Speed Breaker,100,60,Male,No,3,Minor
Afternoon,Thursday,Jun,Clear,Rural Road,Dry,Daylight,Signal,40,26,Female,No,1,Fatal
Afternoon,Sunday,Sep,Clear,Highway,Dry,Daylight,Signal,30,58,Male,Yes,4,Minor
Afternoon,Monday,Mar,Fog,City Road,Dry,Daylight,Signal,100,77,Female,No,2,Major
Night,Tuesday,Mar,Snow,City Road,Wet,Daylight,Signal,60,25,Male,No,1,Minor
Afternoon,Saturday,Mar,Fog,City Road,Dry,Daylight,Speed Breaker,60,20,Male,No,2,Fatal
Evening,Monday,Oct,Clear,Highway,Dry,Daylight,Signal,80,70,Male,No,1,Major
Night,Sunday,Mar,Clear,City Road,Dry,Street Lit,Speed Breaker,50,35,Female,No,1,Fatal
Evening,Sunday,Sep,Clear,Rural Road,Wet,Street Lit,None,60,63,Male,No,2,Minor
Night,Thursday,Dec,Rain,Rural Road,Potholes,Daylight,Speed Breaker,120,52,Male,No,2,Minor
Afternoon,Friday,Apr,Clear,City Road,Wet,Daylight,None,80,34,Male,No,1,Minor
Evening,Monday,Jul,Clear,Highway,Wet,Daylight,Signal,50,53,Male,No,1,Major
Night,Saturday,Sep,Fog,Highway,Dry,Daylight,Signal,40,70,Male,No,3,Major
Morning,Monday,Nov,Clear,City Road,Dry,Daylight,None,50,45,Male,No,2,Minor
Afternoon,Wednesday,Dec,Fog,City Road,Dry,Daylight,Speed Breaker,80,67,Male,No,1,Minor
Night,Friday,Jul,Clear,City Road,Dry,No Lighting,Speed Breaker,50,32,Male,No,1,Minor
Morning,Saturday,Sep,Clear,Highway,Wet,Street Lit,Speed Breaker,30,36,Male,No,1,Major
Night,Saturday,Dec,Clear,City Road,Dry,Daylight,Signal,100,77,Male,No,4,Minor
Morning,Tuesday,Mar,Rain,City Road,Wet,Daylight,Signal,50,39,Male,No,1,Major
Afternoon,Thursday,Apr,Clear,Rural Road,Dry,Daylight,Speed Breaker,30,23,Female,No,1,Minor
Evening,Tuesday,Aug,Clear,City Road,Dry,Street Lit,Speed Breaker,50,64,Male,No,1,Minor
Morning,Saturday,Jun,Snow,Highway,Dry,Daylight,Signal,50,24,Female,No,3,Fatal
Night,Friday,May,Clear,City Road,Under Construction,Daylight,None,60,61,Male,No,2,Minor
Afternoon,Monday,Apr,Rain,Highway,Wet,Street Lit,Signal,100,65,Female,No,2,Minor
Morning,Monday,Aug,Rain,Rural Road,Under Construction,Daylight,Signal,100,26,Male,No,1,Minor
Night,Friday,Jan,Clear,Highway,Dry,Daylight,None,60,37,Male,No,1,Minor
Night,Saturday,Sep,Rain,City Road,Potholes,Daylight,Speed Breaker,60,54,Male,Yes,3,Major
Night,Sunday,Jan,Clear,Highway,Dry,Daylight,Speed Breaker,60,28,Female,No,3,Minor
Morning,Monday,Aug,Rain,City Road,Dry,Daylight,Signal,50,19,Male,No,3,Major
Morning,Sunday,Apr,Clear,City Road,Potholes,Daylight,Signal,40,39,Male,No,3,Minor
Morning,Monday,Sep,Rain,City Road,Dry,Daylight,Speed Breaker,100,65,Male,No,2,Major
Evening,Monday,Nov,Clear,Highway,Wet,Daylight,Signal,50,53,Male,No,2,Major
Morning,Thursday,May,Rain,Highway,Dry,Street Lit,None,50,22,Male,No,2,Fatal
Morning,Thursday,Mar,Clear,Highway,Dry,Daylight,None,60,24,Male,No,2,Fatal
Morning,Wednesday,Sep,Clear,City Road,Potholes,Daylight,None,60,23,Male,No,1,Minor
Evening,Tuesday,Nov,Clear,Highway,Dry,Street Lit,Signal,30,73,Male,No,1,Minor
Morning,Friday,Sep,Clear,City Road,Wet,Street Lit,Speed Breaker,40,39,Female,No,4,Major
Night,Friday,Apr,Fog,Rural Road,Dry,Street Lit,Signal,60,27,Male,No,1,Minor
Morning,Friday,Nov,Clear,Rural Road,Wet,Daylight,Signal,80,63,Male,No,3,Minor
Night,Wednesday,Apr,Storm,City Road,Dry,Daylight,Signal,50,57,Female,No,1,Minor
Night,Thursday,Dec,Snow,City Road,Dry,Street Lit,Signal,60,78,Male,No,1,Minor
Night,Saturday,Aug,Rain,Highway,Dry,Street Lit,None,60,63,Male,No,1,Minor
Evening,Sunday,Feb,Clear,City Road,Dry,Daylight,Signal,100,63,Female,No,1,Minor
Evening,Sunday,Sep,Clear,City Road,Potholes,No Lighting,Signal,50,37,Male,No,1,Minor
Evening,Saturday,Jun,Rain,Highway,Dry,Daylight,None,40,45,Male,No,1,Major
Morning,Wednesday,Sep,Clear,City Road,Dry,No Lighting,Signal,60,40,Female,No,2,Minor
Night,Saturday,Aug,Clear,City Road,Dry,Street Lit,Speed Breaker,80,52,Female,No,1,Fatal
Evening,Friday,Jul,Rain,Rural Road,Dry,Street Lit,Signal,40,18,Male,No,1,Minor
Evening,Tuesday,Jan,Fog,Highway,Wet,No Lighting,Signal,60,46,Male,Yes,1,Major
Morning,Monday,Dec,Rain,City Road,Potholes,Street Lit,None,30,26,Male,No,2,Minor
Evening,Sunday,Mar,Clear,Highway,Dry,Daylight,Signal,30,26,Male,No,2,Minor
Morning,Thursday,Nov,Rain,Highway,Under Construction,Daylight,Speed Breaker,60,39,Male,No,2,Minor
Afternoon,Thursday,Feb,Clear,Rural Road,Dry,Daylight,Signal,50,19,Male,No,1,Minor
Evening,Wednesday,May,Clear,City Road,Dry,Daylight,Signal,100,33,Female,No,1,Major
Afternoon,Thursday,May,Fog,City Road,Wet,Street Lit,Signal,80,57,Female,No,2,Major
Morning,Friday,May,Clear,Highway,Dry,Daylight,Signal,60,75,Male,No,2,Minor
Night,Sunday,Apr,Clear,City Road,Wet,Daylight,Signal,60,23,Male,No,1,Minor
Evening,Saturday,May,Clear,City Road,Under Construction,Daylight,Speed Breaker,60,72,Male,No,1,Minor
Morning,Friday,Mar,Fog,Highway,Dry,Street Lit,Signal,30,30,Male,No,1,Minor
Night,Wednesday,Dec,Rain,City Road,Potholes,Daylight,Signal,100,50,Male,No,1,Minor
Night,Friday,Jan,Rain,Highway,Wet,Daylight,Signal,120,36,Female,No,2,Fatal
Afternoon,Saturday,May,Rain,City Road,Dry,Daylight,None,50,32,Male,No,1,Minor
Morning,Tuesday,Sep,Clear,City Road,Wet,Street Lit,None,40,50,Female,No,1,Major
Night,Wednesday,Sep,Clear,Highway,Dry,Daylight,Speed Breaker,40,27,Male,No,1,Major
Evening,Tuesday,Apr,Clear,Highway,Potholes,Street Lit,None,80,18,Male,Yes,4,Major
Evening,Monday,Mar,Clear,Highway,Wet,Daylight,Signal,80,77,Male,No,2,Minor
Afternoon,Tuesday,Jan,Clear,Highway,Dry,Daylight,Signal,100,29,Male,No,3,Major
Night,Monday,Feb,Storm,City Road,Dry,No Lighting,Speed Breaker,80,60,Female,No,1,Major
Morning,Monday,Aug,Clear,City Road,Wet,Daylight,Speed Breaker,60,46,Female,No,2,Minor
Evening,Tuesday,Jan,Clear,Highway,Dry,Daylight,Signal,80,34,Male,No,1,Minor
Night,Wednesday,Aug,Clear,Highway,Dry,Daylight,Signal,80,21,Male,No,1,Fatal
Night,Saturday,Jul,Clear,City Road,Dry,Daylight,None,60,46,Male,No,1,Major
Afternoon,Friday,Aug,Storm,City Road,Dry,Daylight,None,60,72,Female,No,1,Minor
Evening,Friday,Dec,Clear,Highway,Dry,Daylight,Signal,80,24,Female,No,1,Minor
Evening,Saturday,Jun,Clear,Highway,Dry,Daylight,Speed Breaker,60,61,Male,No,2,Minor
Morning,Sunday,Dec,Rain,City Road,Dry,Daylight,Signal,80,30,Male,No,1,Minor
Evening,Sunday,Sep,Clear,Highway,Wet,Street Lit,Signal,80,22,Male,No,1,Minor
Morning,Monday,Mar,Clear,Highway,Dry,Street Lit,Signal,80,77,Male,No,1,Minor
Evening,Monday,Oct,Clear,City Road,Dry,Daylight,Signal,80,23,Male,No,1,Major
Afternoon,Wednesday,Apr,Rain,City Road,Dry,Daylight,Signal,60,51,Male,No,1,Major
Evening,Thursday,Jun,Snow,City Road,Dry,Daylight,None,80,70,Female,No,1,Major
Morning,Tuesday,Aug,Rain,City Road,Dry,Daylight,Signal,60,24,Male,No,1,Minor
Morning,Monday,May,Clear,City Road,Dry,Daylight,Speed Breaker,50,63,Male,No,1,Major
Afternoon,Friday,Mar,Fog,Highway,Dry,Daylight,Signal,30,74,Female,Yes,1,Minor
Evening,Wednesday,Jun,Clear,Highway,Under Construction,Daylight,Signal,60,71,Male,Yes,1,Minor
Evening,Tuesday,Apr,Clear,Highway,Wet,Daylight,None,60,45,Male,Yes,1,Fatal
Afternoon,Wednesday,Sep,Clear,Highway,Wet,Daylight,Speed Breaker,120,63,Male,No,1,Minor
Evening,Tuesday,Mar,Clear,City Road,Wet,No Lighting,None,60,27,Male,Yes,1,Minor
Evening,Tuesday,Apr,Clear,Rural Road,Wet,Daylight,None,60,21,Male,No,2,Minor
Morning,Saturday,Jul,Rain,Rural Road,Dry,Street Lit,Signal,50,20,Male,No,1,Minor
Evening,Monday,Jul,Storm,City Road,Wet,Street Lit,Signal,40,42,Female,No,1,Major
Evening,Wednesday,Dec,Clear,Highway,Dry,Daylight,None,80,40,Male,No,3,Fatal
Afternoon,Wednesday,Dec,Clear,Highway,Wet,Daylight,None,50,44,Female,No,2,Major
Afternoon,Saturday,Apr,Clear,City Road,Wet,Daylight,Speed Breaker,80,31,Male,No,4,Major
Night,Friday,Jun,Clear,City Road,Dry,Daylight,Speed Breaker,80,78,Female,No,2,Major
Morning,Friday,Dec,Rain,City Road,Dry,Daylight,Speed Breaker,60,55,Male,No,1,Major
Evening,Sunday,Mar,Clear,City Road,Dry,Street Lit,Signal,100,49,Male,No,1,Minor
Evening,Monday,Jun,Fog,City Road,Wet,Daylight,Speed Breaker,60,40,Male,No,2,Fatal
Night,Monday,Dec,Clear,City Road,Wet,Daylight,None,50,64,Male,No,4,Minor
Evening,Thursday,Feb,Clear,Highway,Under Construction,Street Lit,Speed Breaker,100,57,Male,No,2,Fatal
Morning,Saturday,Aug,Clear,City Road,Dry,Street Lit,Signal,100,54,Female,No,3,Minor
Night,Friday,Feb,Clear,Rural Road,Wet,Daylight,Signal,50,20,Male,No,1,Major
Morning,Tuesday,Nov,Clear,Highway,Dry,Street Lit,Signal,30,52,Male,No,1,Major
Night,Wednesday,Jul,Rain,City Road,Under Construction,Daylight,Signal,40,30,Male,No,3,Fatal
Night,Monday,Sep,Clear,Highway,Dry,Daylight,None,50,51,Female,Yes,2,Major
Afternoon,Wednesday,Jan,Rain,Rural Road,Dry,Daylight,Signal,120,41,Male,No,4,Minor
Morning,Wednesday,Aug,Clear,Highway,Dry,Daylight,Signal,60,18,Female,No,2,Minor
Evening,Thursday,Jul,Clear,City Road,Wet,No Lighting,Signal,60,29,Female,No,1,Minor
Evening,Friday,Jun,Clear,Highway,Potholes,Daylight,Speed Breaker,100,25,Male,No,1,Minor
Morning,Monday,Jun,Fog,City Road,Dry,Daylight,Speed Breaker,60,36,Male,No,3,Minor
Evening,Wednesday,Jun,Clear,Highway,Dry,Daylight,Signal,50,26,Female,No,1,Minor
Evening,Monday,Sep,Rain,Highway,Potholes,Daylight,Signal,100,45,Male,No,1,Minor
Morning,Tuesday,Feb,Clear,City Road,Dry,Daylight,Signal,100,31,Male,No,1,Fatal
Night,Thursday,Jan,Rain,Rural Road,Wet,Daylight,Speed Breaker,100,77,Female,No,1,Fatal
Morning,Tuesday,Dec,Clear,Highway,Dry,Street Lit,Signal,60,44,Female,Yes,1,Minor
Night,Monday,Jun,Rain,Highway,Dry,Daylight,None,80,35,Female,No,2,Minor
Evening,Sunday,Oct,Rain,City Road,Wet,Daylight,Signal,50,59,Male,No,1,Minor
Evening,Monday,Nov,Storm,City Road,Wet,Daylight,Signal,60,58,Male,Yes,1,Minor
Evening,Friday,Aug,Clear,Rural Road,Dry,Daylight,Speed Breaker,120,23,Male,No,2,Minor
Afternoon,Wednesday,Mar,Clear,Highway,Dry,Daylight,Signal,50,50,Male,No,1,Minor
Night,Wednesday,Dec,Clear,City Road,Under Construction,Street Lit,Speed Breaker,80,54,Male,No,2,Minor
Afternoon,Tuesday,Oct,Fog,Highway,Dry,No Lighting,Signal,60,59,Male,No,1,Minor
Afternoon,Thursday,Jan,Clear,Highway,Under Construction,Daylight,Speed Breaker,30,42,Male,No,4,Minor
Morning,Sunday,Sep,Rain,City Road,Dry,Daylight,Speed Breaker,80,30,Female,No,1,Minor
Afternoon,Saturday,Jan,Clear,City Road,Dry,Street Lit,None,50,71,Female,Yes,1,Major
Morning,Wednesday,Mar,Clear,City Road,Potholes,Daylight,Signal,80,40,Female,No,3,Major
Morning,Friday,Aug,Clear,Highway,Wet,Daylight,Signal,40,53,Male,Yes,2,Minor
Afternoon,Tuesday,Mar,Snow,City Road,Dry,Daylight,Signal,100,50,Male,Yes,1,Minor
Night,Tuesday,Apr,Rain,City Road,Wet,Street Lit,None,50,38,Female,No,4,Minor
Night,Saturday,Aug,Storm,Rural Road,Dry,Daylight,None,50,51,Male,No,1,Minor
Night,Friday,Jan,Clear,Highway,Dry,Street Lit,Signal,40,73,Male,No,4,Minor
Night,Thursday,Jun,Rain,Highway,Potholes,Street Lit,Signal,100,53,Male,No,1,Minor
Night,Friday,Jan,Rain,Highway,Wet,Daylight,Signal,80,34,Male,No,1,Minor
Afternoon,Thursday,Jan,Clear,City Road,Wet,Street Lit,Signal,80,27,Male,No,1,Minor
Afternoon,Friday,Aug,Fog,Highway,Dry,Street Lit,Signal,60,40,Female,No,1,Major
Evening,Friday,Nov,Storm,Rural Road,Dry,Daylight,Signal,60,61,Female,No,1,Minor
Night,Monday,Apr,Fog,Highway,Dry,Daylight,Speed Breaker,40,76,Male,No,1,Minor
Afternoon,Tuesday,Dec,Rain,Rural Road,Dry,Daylight,None,60,19,Male,No,1,Minor
Evening,Friday,Jan,Clear,Highway,Wet,Daylight,None,50,52,Female,No,1,Minor
Night,Saturday,Oct,Clear,City Road,Dry,Daylight,Signal,120,31,Male,No,1,Major
Morning,Friday,Jul,Snow,Rural Road,Under Construction,Daylight,Speed Breaker,80,74,Male,No,3,Major
Evening,Wednesday,May,Clear,Highway,Dry,Daylight,None,60,64,Female,No,1,Minor
Afternoon,Tuesday,May,Rain,Rural Road,Dry,Street Lit,Signal,50,62,Female,No,2,Major
Morning,Wednesday,Jan,Rain,City Road,Dry,Daylight,Speed Breaker,80,58,Female,No,4,Major
Morning,Tuesday,Oct,Rain,Rural Road,Dry,Daylight,Signal,40,19,Male,Yes,2,Minor
Morning,Wednesday,Nov,Snow,City Road,Dry,Daylight,Signal,50,36,Male,No,4,Minor
Evening,Friday,Jun,Clear,Highway,Potholes,Daylight,Signal,50,33,Female,Yes,1,Major
Afternoon,Friday,Sep,Clear,Highway,Dry,Daylight,Signal,60,60,Male,No,1,Minor
Morning,Monday,Sep,Clear,Highway,Potholes,Daylight,Speed Breaker,80,61,Female,No,1,Minor
Night,Saturday,Aug,Clear,Highway,Dry,Daylight,Signal,50,42,Male,No,1,Minor
Morning,Wednesday,May,Clear,Highway,Potholes,Street Lit,Signal,40,18,Female,Yes,3,Major
Morning,Thursday,Jan,Clear,Highway,Dry,Street Lit,Signal,60,19,Male,No,1,Fatal
Evening,Monday,Sep,Fog,City Road,Potholes,Daylight,None,80,65,Male,No,1,Major
Evening,Wednesday,Jan,Storm,City Road,Dry,Street Lit,Signal,50,44,Male,Yes,2,Major
Afternoon,Wednesday,Aug,Clear,Highway,Wet,Street Lit,Speed Breaker,50,19,Male,No,1,Fatal
Night,Monday,May,Clear,Highway,Potholes,Daylight,Speed Breaker,100,75,Male,No,1,Major
Evening,Friday,Mar,Storm,City Road,Dry,No Lighting,Signal,120,47,Male,No,1,Major
Morning,Wednesday,Nov,Clear,Highway,Dry,Street Lit,Signal,120,68,Female,No,3,Fatal
Afternoon,Friday,Jul,Clear,Highway,Dry,Daylight,Speed Breaker,100,27,Male,No,2,Minor
Morning,Monday,Jul,Clear,Highway,Potholes,Daylight,Signal,50,36,Male,No,1,Major
Morning,Friday,Sep,Rain,Rural Road,Dry,Daylight,Signal,50,59,Male,Yes,1,Major
Evening,Tuesday,Jul,Clear,City Road,Dry,Daylight,Speed Breaker,50,33,Female,No,1,Fatal
Afternoon,Thursday,Nov,Snow,Highway,Dry,Street Lit,Signal,50,30,Male,No,1,Major
Night,Sunday,Mar,Clear,City Road,Dry,Daylight,Signal,120,65,Male,No,2,Major
Night,Wednesday,Nov,Clear,City Road,Under Construction,Street Lit,Signal,80,67,Female,No,1,Fatal
Evening,Saturday,Jan,Clear,City Road,Dry,Street Lit,Signal,80,73,Male,No,1,Minor
Evening,Thursday,Aug,Clear,City Road,Wet,Street Lit,Speed Breaker,50,25,Male,No,3,Minor
Afternoon,Sunday,Dec,Rain,City Road,Potholes,Street Lit,Speed Breaker,100,73,Male,No,2,Minor
